# Truckee-Tahoe Airport (KTRK)
# e.g. http://www.wunderground.com/history/airport/KTRK/2015/01/01/DailyHistory.html?req_city=Truckee&req_state=CA&reqdb.zip=96160&reqdb.magic=1&reqdb.wmo=99999&format=1
TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:15 AM,19.4,12.2,74,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 08:15:00
12:35 AM,23.0,14.0,68,30.33,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 08:35:00
12:55 AM,21.2,14.0,74,30.33,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 08:55:00
1:15 AM,21.2,14.0,74,30.33,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 09:15:00
1:35 AM,21.2,15.8,80,30.33,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 09:35:00
1:55 AM,19.4,15.8,86,30.33,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 09:55:00
2:15 AM,21.2,14.0,74,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 10:15:00
2:35 AM,14.0,10.4,86,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 10:35:00
2:55 AM,19.4,14.0,80,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 10:55:00
3:15 AM,17.6,14.0,86,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 11:15:00
3:35 AM,19.4,14.0,80,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 11:35:00
3:55 AM,19.4,14.0,80,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 11:55:00
4:15 AM,19.4,14.0,80,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 12:15:00
4:35 AM,17.6,14.0,86,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 12:35:00
4:55 AM,17.6,12.2,79,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 12:55:00
5:15 AM,17.6,14.0,86,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 13:15:00
5:35 AM,17.6,12.2,79,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 13:35:00
6:45 AM,15.8,12.2,86,30.35,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 14:45:00
7:50 AM,14.0,10.4,86,30.35,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 15:50:00
9:55 AM,26.6,17.6,69,30.36,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 17:55:00
10:45 AM,33.8,17.6,52,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 18:45:00
11:45 AM,41.0,21.2,45,30.34,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-01 19:45:00
12:55 PM,46.4,21.2,37,30.27,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 20:55:00
1:45 PM,48.2,23.0,37,30.25,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 21:45:00
2:45 PM,51.8,23.0,33,30.25,10.0,North,3.5,-,N/A,,Scattered Clouds,350,2014-01-01 22:45:00
3:50 PM,48.2,21.2,34,30.25,10.0,NNW,5.8,-,N/A,,Scattered Clouds,340,2014-01-01 23:50:00
4:45 PM,42.8,19.4,39,30.26,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-02 00:45:00
4:55 PM,41.0,21.2,45,30.26,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 00:55:00
5:15 PM,33.8,23.0,65,30.27,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 01:15:00
5:35 PM,32.0,24.8,75,30.27,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 01:35:00
5:55 PM,32.0,23.0,69,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 01:55:00
6:15 PM,32.0,23.0,69,30.28,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 02:15:00
6:35 PM,30.2,21.2,69,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 02:35:00
6:55 PM,30.2,23.0,75,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 02:55:00
7:15 PM,30.2,23.0,75,30.29,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 03:15:00
7:35 PM,28.4,21.2,74,30.30,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 03:35:00
7:55 PM,28.4,21.2,74,30.30,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 03:55:00
8:15 PM,28.4,23.0,80,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 04:15:00
8:35 PM,26.6,21.2,80,30.30,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 04:35:00
8:55 PM,28.4,21.2,74,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 04:55:00
9:15 PM,28.4,23.0,80,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 05:15:00
9:35 PM,26.6,21.2,80,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 05:35:00
9:55 PM,24.8,21.2,86,30.32,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 05:55:00
10:15 PM,26.6,21.2,80,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 06:15:00
10:35 PM,24.8,21.2,86,30.32,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 06:35:00
10:55 PM,24.8,21.2,86,30.32,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 06:55:00
11:15 PM,23.0,21.2,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 07:15:00
11:35 PM,23.0,21.2,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 07:35:00
11:55 PM,23.0,19.4,86,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 07:55:00
12:15 AM,21.2,19.4,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 08:15:00
12:35 AM,23.0,21.2,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 08:35:00
12:55 AM,21.2,19.4,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 08:55:00
1:15 AM,19.4,15.8,86,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 09:15:00
1:35 AM,21.2,19.4,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 09:35:00
1:55 AM,23.0,21.2,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 09:55:00
2:15 AM,21.2,19.4,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 10:15:00
2:35 AM,19.4,17.6,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 10:35:00
2:55 AM,21.2,19.4,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 10:55:00
3:15 AM,17.6,15.8,93,30.31,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 11:15:00
3:35 AM,17.6,15.8,93,30.30,10.0,Calm,Calm,-,N/A,,Clear,0,2014-01-02 11:35:00
