index,key,title
1,YEAR,Calendar year
2,DAY,Julian Day
3,TIME,"hhmm, hh = hour, mm = minutes in GMT"
4,WS_S,Analog Scaler Wind Speed (m/sec)
5,WS_U,Analog Resultant Wind Speed (m/sec)
6,DIR,Wind Direction (deg)
7,SD,standard deviation of above
8,W_GUST,Analog Scaler Wind Speed (m/sec)
9,T_AIR,Air Temperature (deg C)
10,SD,standard deviation of above
11,RH,Relative Humidity (%)
12,SD,standard deviation of above
13,PRESS,pressure (mbar)
14,SD,standard deviation of above
15,RAIN,rain gage (mm)
16,BATT,Battery voltage (volts)
