index,key,title
1,YEAR,Calendar year
2,DAY,Julian Day
3,TIME,"hhmm, hh = hour, mm = minutes in GMT"
4,T_H2O,Water Temperature (deg C)
5,SD,standard deviation of above
6,T_Air,Air Temperature (deg C)
7,SD,standard deviation of above
8,RH,Relative Humidity (%)
9,SD,standard deviation of above
10,WS_S,Analog Scaler Wind Speed (m/sec)
11,WS_U,Analog Resultant Wind Speed (m/sec)
12,DIR,Wind Direction (deg)
13,SD,standard deviation of above
14,WS_Max,Analog Scaler Wind Speed (m/sec)
15,Raft_Dir,Raft orientation
16,BATT,Battery voltage (volts)
