agency_cd	site_no	datetime	tz_cd	01_00010	01_00010_cd	02_00060	02_00060_cd	09_00065	09_00065_cd	12_70969	12_70969_cd	21_63680	21_63680_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	10336610	2016-03-01 00:00	PST	4.9	P	86	P	4.68	P	12.7	P	9.6	P
USGS	10336610	2016-03-01 00:15	PST	4.9	P	86	P	4.68	P			9.8	P
USGS	10336610	2016-03-01 00:30	PST	4.8	P	86	P	4.68	P			9.7	P
USGS	10336610	2016-03-01 00:45	PST	4.7	P	86	P	4.68	P			9.8	P
USGS	10336610	2016-03-01 01:00	PST	4.6	P	86	P	4.68	P	12.7	P	10	P
USGS	10336610	2016-03-01 01:15	PST	4.6	P	86	P	4.68	P			10	P
USGS	10336610	2016-03-01 01:30	PST	4.5	P	86	P	4.68	P			9.7	P
USGS	10336610	2016-03-01 01:45	PST	4.4	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 02:00	PST	4.3	P	85	P	4.67	P	12.7	P	10	P
USGS	10336610	2016-03-01 02:15	PST	4.2	P	86	P	4.68	P			10	P
USGS	10336610	2016-03-01 02:30	PST	4.2	P	85	P	4.67	P			9.5	P
USGS	10336610	2016-03-01 02:45	PST	4.1	P	85	P	4.67	P			9.8	P
USGS	10336610	2016-03-01 03:00	PST	4.0	P	85	P	4.67	P	12.7	P	11	P
USGS	10336610	2016-03-01 03:15	PST	3.9	P	85	P	4.67	P			11	P
USGS	10336610	2016-03-01 03:30	PST	3.9	P	85	P	4.67	P			12	P
USGS	10336610	2016-03-01 03:45	PST	3.8	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 04:00	PST	3.8	P	85	P	4.67	P	12.7	P	10	P
USGS	10336610	2016-03-01 04:15	PST	3.7	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 04:30	PST	3.6	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 04:45	PST	3.6	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 05:00	PST	3.5	P	85	P	4.67	P	12.7	P	10	P
USGS	10336610	2016-03-01 05:15	PST	3.5	P	85	P	4.67	P			11	P
USGS	10336610	2016-03-01 05:30	PST	3.4	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 05:45	PST	3.3	P	84	P	4.66	P			11	P
USGS	10336610	2016-03-01 06:00	PST	3.3	P	85	P	4.67	P	12.7	P	11	P
USGS	10336610	2016-03-01 06:15	PST	3.2	P	85	P	4.67	P			11	P
USGS	10336610	2016-03-01 06:30	PST	3.2	P	85	P	4.67	P			10	P
USGS	10336610	2016-03-01 06:45	PST	3.1	P	84	P	4.66	P			11	P
USGS	10336610	2016-03-01 07:00	PST	3.1	P	84	P	4.66	P	12.7	P	9.8	P
USGS	10336610	2016-03-01 07:15	PST	3.0	P	85	P	4.67	P			11	P
USGS	10336610	2016-03-01 07:30	PST	3.0	P	84	P	4.66	P			9.9	P
USGS	10336610	2016-03-01 07:45	PST	2.9	P	85	P	4.67	P			9.7	P
